Date,AAPL,ADBE,ADI,ADP,AMAT,AMD,AMGN,AMZN,AVGO,BKNG,CMCSA,COST,CSCO,GILD,GOOG,GOOGL,HON,INTC,INTU,ISRG,KLAC,LRCX,MDLZ,MELI,META,MSFT,MU,NFLX,NVDA,PANW,PDD,PEP,QCOM,REGN,SBUX,SNPS,TMUS,TSLA,TXN,VRTX
2021-08-19,144.83140563964844,637.6599731445312,159.34559631347656,200.75881958007812,126.4017562866211,103.69999694824219,208.48252868652344,159.3874969482422,442.4720458984375,2075.860107421875,55.186195373535156,436.5426940917969,53.100929260253906,64.6777114868164,136.9134979248047,135.67999267578125,217.3553924560547,48.947322845458984,534.7473754882812,351.8800048828125,313.5884094238281,559.5731811523438,60.11002731323242,1759.9599609375,355.1199951171875,290.89874267578125,69.0905990600586,543.7100219726562,197.64825439453125,120.96666717529297,74.69000244140625,148.42298889160156,132.92698669433594,655.6300048828125,108.90184783935547,315.989990234375,140.2776336669922,224.49000549316406,172.051025390625,195.0399932861328
2021-08-20,146.30242919921875,647.3400268554688,159.20233154296875,201.19627380371094,124.44507598876953,104.6500015258789,207.68350219726562,159.99749755859375,444.0045166015625,2074.739990234375,55.60737991333008,441.08819580078125,53.98176956176758,65.3725814819336,138.43699645996094,137.42950439453125,217.32676696777344,48.545963287353516,536.5775756835938,347.94000244140625,311.2731628417969,548.7430419921875,59.93067932128906,1786.5400390625,359.3699951171875,298.3385009765625,69.04145050048828,546.8800048828125,207.8112030029297,122.48666381835938,77.29000091552734,147.8999481201172,134.32611083984375,663.27001953125,109.19715118408203,316.8800048828125,141.19363403320312,226.75332641601562,171.9859619140625,195.85000610351562
2021-08-23,147.80307006835938,656.8599853515625,162.05886840820312,201.33888244628906,128.6421661376953,108.7699966430664,209.64390563964844,163.2935028076172,450.80706787109375,2137.320068359375,55.9724235534668,437.1866149902344,54.27847671508789,65.47186279296875,141.09950256347656,140.04150390625,218.6725311279297,49.68471145629883,543.652587890625,348.67333984375,319.61016845703125,566.51513671875,59.562538146972656,1810.0,363.3500061035156,298.6228332519531,70.52587890625,553.3300170898438,219.21209716796875,124.19000244140625,81.08000183105469,147.43292236328125,136.26409912109375,667.2899780273438,109.6925048828125,320.9200134277344,141.9204559326172,235.43333435058594,174.66380310058594,198.39999389648438
2021-08-24,147.7141876220703,657.239990234375,158.4475860595703,197.9726104736328,128.59324645996094,107.6500015258789,208.47323608398438,165.28900146484375,449.8539123535156,2233.110107421875,55.719703674316406,434.1690673828125,55.00169372558594,65.20114135742188,142.39849853515625,141.26150512695312,219.9419403076172,50.22608184814453,545.1580810546875,348.89666748046875,319.0848388671875,567.7561645507812,58.760189056396484,1855.2900390625,365.510009765625,296.6330261230469,70.76182556152344,553.4099731445312,217.5648651123047,147.2899932861328,99.12000274658203,145.60227966308594,136.56663513183594,669.9500122070312,109.6258316040039,324.95001220703125,141.88064575195312,236.163330078125,174.6359100341797,199.72999572753906
2021-08-25,146.47024536132812,656.7999877929688,156.68014526367188,197.9726104736328,130.18109130859375,108.30000305175781,205.8810272216797,164.95899963378906,451.70404052734375,2263.7900390625,55.672908782958984,433.6308898925781,55.02950668334961,64.44308471679688,142.9499969482422,142.07899475097656,220.1519317626953,50.22608184814453,546.7227172851562,347.9866638183594,324.94122314453125,570.84912109375,58.4014892578125,1871.93994140625,368.3900146484375,296.0350646972656,72.78695678710938,547.5800170898438,221.75779724121094,149.01666259765625,97.83999633789062,144.95782470703125,136.0088653564453,669.1799926757812,110.09260559082031,325.010009765625,139.2521209716797,237.06666564941406,174.88694763183594,201.3300018310547
2021-08-26,145.6606903076172,652.3900146484375,160.5657501220703,196.91709899902344,129.8576202392578,107.2699966430664,205.76956176757812,165.8000030517578,453.8812255859375,2276.800048828125,55.223628997802734,431.78582763671875,54.89043045043945,64.46114349365234,142.1230010986328,141.4405059814453,220.36190795898438,49.591365814208984,543.80029296875,347.4166564941406,324.6785583496094,567.533203125,57.995601654052734,1835.6800537109375,364.3800048828125,293.1728820800781,71.53844451904297,550.1199951171875,220.31021118164062,152.47999572753906,95.86000061035156,144.42543029785156,134.6002960205078,665.77001953125,108.90184783935547,326.510009765625,136.98202514648438,233.72000122070312,174.77537536621094,198.25
2021-08-27,146.7071990966797,658.52001953125,159.7214813232422,198.70484924316406,133.8369598388672,111.4000015258789,206.98667907714844,167.48150634765625,463.4122619628906,2305.469970703125,55.5980224609375,432.7756042480469,54.723533630371094,64.32576751708984,144.55050659179688,144.00399780273438,220.6100311279297,50.300750732421875,556.8875732421875,345.50665283203125,333.6090393066406,591.035400390625,58.42036819458008,1865.0,372.6300048828125,293.79034423828125,72.74763488769531,558.9199829101562,225.980712890625,153.75999450683594,94.62999725341797,144.71498107910156,136.93531799316406,663.2899780273438,109.6639404296875,331.80999755859375,137.77854919433594,237.30667114257812,177.14639282226562,199.9199981689453
2021-08-30,151.16961669921875,665.989990234375,160.20115661621094,198.80943298339844,133.34689331054688,111.31999969482422,208.24098205566406,171.07850646972656,466.1687316894531,2277.7099609375,55.88818359375,438.1475830078125,54.825531005859375,64.98454284667969,145.46949768066406,144.5904998779297,221.30679321289062,50.347415924072266,556.5234375,352.9700012207031,332.811279296875,589.4840698242188,58.67523956298828,1878.9000244140625,380.6600036621094,297.5837707519531,71.9218521118164,566.1799926757812,226.4998321533203,152.93666076660156,94.9800033569336,145.7050018310547,137.96575927734375,677.0800170898438,110.13070678710938,334.2799987792969,137.30062866210938,243.6366729736328,177.99249267578125,199.49000549316406
2021-08-31,149.8960723876953,663.7000122070312,156.3347625732422,198.78089904785156,132.44517517089844,110.72000122070312,209.5417022705078,173.5395050048828,464.59893798828125,2299.669921875,56.79610824584961,437.7247314453125,54.723533630371094,65.67941284179688,145.46200561523438,144.69749450683594,221.34498596191406,50.45942687988281,557.0546875,351.1866760253906,330.7197570800781,586.4104614257812,58.59028244018555,1867.449951171875,379.3800048828125,295.90765380859375,72.45271301269531,569.1900024414062,223.5143585205078,153.67999267578125,100.0199966430664,146.06927490234375,138.67477416992188,673.4000244140625,111.9216079711914,332.239990234375,136.42446899414062,245.24000549316406,177.5089874267578,200.2899932861328
2021-09-01,150.5673828125,665.8900146484375,154.5694580078125,196.70790100097656,130.808349609375,109.98999786376953,207.51626586914062,173.9499969482422,460.8145446777344,2286.85009765625,57.22665786743164,438.714599609375,54.7420768737793,64.85820007324219,145.8419952392578,145.2154998779297,219.3311004638672,50.09540557861328,554.1224365234375,354.2366638183594,326.3323669433594,581.5239868164062,58.83570861816406,1896.510009765625,382.04998779296875,295.8586120605469,72.47238159179688,582.0700073242188,224.07350158691406,153.43333435058594,106.83000183105469,147.4889678955078,139.0926513671875,680.9600219726562,111.88349914550781,333.6300048828125,137.14134216308594,244.69667053222656,175.12869262695312,197.13999938964844
